name,full_name,short_name,image,height,weight,positions,date_of_birth,transfer_value,wage,preferred_foot,club_name,club_logo,club_kit_number,club_joined,club_contract_valid_until,country_flag,fc_profile_id,fc_club_id,total_apps,starting_apps,sub_apps,mins_played,motm,rating,red,yellow,goals,assists,shots_per_game,dribbles_per_game,fouled_per_game,offside_per_game,possession_lost_per_game,bad_touch_per_game,key_passes_per_game,passes_per_game,pass_accuracy,cross_per_game,long_pass_per_game,through_pass_per_game,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,own_goals
David Brooks,David Robert Brooks,D. Brooks,https://cdn.futbin.com/content/fifa24/img/players/220196.png,180,137,"RM,RW",1997-07-08,€5M,€37K,left,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,7,2018-07-01,2026,https://cdn.sofifa.net/flags/gb-wls.png,220196.0,1943,8,2,6,226,0,6.30,0,1,1,0,1,0.1,0.1,0,0.1,0.9,0.8,11.3,74.4,0.3,0.3,0,0.5,0.3,0.8,0.3,0.1,0,0
Hamed Traorè,Hamed Junior Traorè,H. Traorè,https://cdn.futbin.com/content/fifa24/img/players/240787.png,177,170,"LM,LW,CAM",2000-02-16,€11M,€38K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,22,2023-07-01,2028,https://cdn.sofifa.net/flags/ci.png,240787.0,1943,3,0,3,45,0,6.30,0,0,0,0,1,1.3,0,0,0.3,0.7,0.3,8,75,0,0,0,0.3,0,0,0,0.7,0,0
Dango Ouattara,Dango Aboubacar Faissal Ouattara,D. Ouattara,https://cdn.futbin.com/content/fifa24/img/players/265552.png,177,157,"RM,LM",2002-02-11,€5.5M,€23K,left,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,11,2023-01-20,2028,https://cdn.sofifa.net/flags/bf.png,265552.0,1943,7,2,5,224,0,6.29,0,1,0,0,0.9,0.7,0.6,0.1,0.3,0.9,0.6,8.3,63.8,0.1,0,0,1.1,0.3,0.3,0.6,0.3,0,0
Lloyd Kelly,Lloyd Kelly,L. Kelly,https://cdn.futbin.com/content/fifa24/img/players/231512.png,190,168,"CB,LB",1998-10-06,€4.2M,€28K,left,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,5,2019-05-18,2024,https://cdn.sofifa.net/flags/gb-eng.png,231512.0,1943,8,7,1,637,0,6.29,0,1,0,0,0.1,0.1,0.5,0,0.1,0.3,0.4,42.8,79.5,0,2.8,0,1.3,0.6,0.6,2.1,0.9,0.9,0
Marcos Senesi,Marcos Nicolás Senesi Barón,M. Senesi,https://cdn.futbin.com/content/fifa24/img/players/236506.png,183,172,CB,1997-05-10,€8M,€40K,left,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,25,2022-08-08,2026,https://cdn.sofifa.net/flags/ar.png,236506.0,1943,10,6,4,578,0,6.27,0,2,0,1,0,0.4,0.3,0,0.1,0.7,0.2,37.2,79.8,0,3.4,0.2,2,0.5,1.2,2.6,1.6,0.5,0
Justin Kluivert,Justin Kluivert,J. Kluivert,https://cdn.futbin.com/content/fifa24/img/players/236920.png,171,148,"RM,LM",1999-05-05,€16M,€41K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,19,2023-07-01,2028,https://cdn.sofifa.net/flags/nl.png,236920.0,1943,9,5,4,412,0,6.22,0,0,0,0,0.6,0.9,1,0.3,0.8,0.9,0.4,10.4,76.6,0.1,0.4,0,0.6,0.4,1.2,0.1,0.6,0,0
Milos Kerkez,Milos Kerkez,M. Kerkez,https://cdn.futbin.com/content/fifa24/img/players/260908.png,176,157,LB,2003-11-07,€11.5M,€20K,left,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,3,2023-07-20,2027,https://cdn.sofifa.net/flags/hu.png,260908.0,1943,11,10,1,856,0,6.22,0,1,0,0,0.3,0.6,1.2,0,0.6,1.1,0.2,23.5,75.7,0.5,0.6,0,2.4,0.8,1.3,2.6,0.6,0.2,1
James Hill,James Clayton Hill,J. Hill,https://cdn.futbin.com/content/fifa24/img/players/248492.png,184,161,CB,2002-01-10,€1.8M,€8K,right,Blackburn Rovers,https://cdn.sofifa.net/meta/team/2/60.png,4,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/gb-eng.png,248492.0,3,1,0,1,16,0,6.17,0,0,0,0,0,0,0,0,1,0,0,11,90.9,0,2,0,0,0,1,0,0,0,0
Joe Rothwell,Joe Rothwell,J. Rothwell,https://cdn.futbin.com/content/fifa24/img/players/213693.png,183,170,"CM,CDM",1995-01-11,€3M,€37K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,8,2022-07-01,2026,https://cdn.sofifa.net/flags/gb-eng.png,213693.0,1943,9,3,6,361,0,6.15,0,0,0,0,0.2,0.8,0.2,0,0.2,0.6,0.4,19.9,87.7,0.2,0,0,0.8,0.2,0.4,0.1,0.7,0.2,0
Kieffer Moore,Kieffer Roberto Francisco Moore,K. Moore,https://cdn.futbin.com/content/fifa24/img/players/216627.png,196,183,ST,1992-08-08,€3M,€39K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,21,2022-01-31,2025,https://cdn.sofifa.net/flags/gb-wls.png,216627.0,1943,5,0,5,83,0,6.11,0,0,0,0,0.8,0,0.2,0,0.2,0.2,0.2,6,70,0,0,0,0,0,0.4,0,0,0,0
Chris Mepham,Christopher James Mepham,C. Mepham,https://cdn.futbin.com/content/fifa24/img/players/233201.png,190,165,CB,1997-11-05,€2.2M,€24K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,6,2019-01-22,2025,https://cdn.sofifa.net/flags/gb-wls.png,233201.0,1943,4,2,2,170,0,6.09,0,1,0,0,0.3,0,0,0,0,0.3,0.3,26.5,80.2,0,1,0,0.5,0.8,1,2,0.3,0.5,0
Jaidon Anthony,Jaidon Anthony,J. Anthony,https://cdn.futbin.com/content/fifa24/img/players/243669.png,183,159,"LM,LW",1999-12-01,€4.6M,€31K,right,Leeds United,https://cdn.sofifa.net/meta/team/71/60.png,12,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/gb-eng.png,243669.0,8,3,2,1,154,0,6.03,0,1,0,0,0.7,0.7,0.7,0.7,0.7,1.7,0,14.3,69.8,0,0.3,0,1,0.3,1.3,0.7,2,0,0
Adam Smith,Adam Smith,A. Smith,https://cdn.futbin.com/content/fifa24/img/players/190885.png,180,172,"RB,RWB",1991-04-29,€2.9M,€36K,right,AFC Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png,15,2014-01-28,2024,https://cdn.sofifa.net/flags/gb-eng.png,190885.0,1943,4,1,3,120,0,6.03,0,0,0,0,0,0,0.5,0,0.3,0.3,0.3,14,80.4,0.5,0.3,0,0.3,0,0.3,1,0.5,0.3,0
Andrei Radu,Andrei Radu,Andrei Radu,,0,0,,,,,,Bournemouth,,,,,,,,2,2,0,180,0,5.70,0,0,0,0,0,0,0,0,0,0,0,29,79.3,0,4,0,0,0,0,0.5,0,0,0
Bryan Mbeumo,Bryan Mbeumo,B. Mbeumo,https://cdn.futbin.com/content/fifa24/img/players/243014.png,171,165,"RW,ST",1999-08-07,€19M,€53K,left,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,19,2019-08-05,2026,https://cdn.sofifa.net/flags/cm.png,243014.0,1925,12,12,0,1080,2,7.23,0,1,6,2,2.8,0.9,1.4,0.1,1.5,2.4,1.6,31.4,75.6,1.9,0.9,0.2,0.9,0.3,1.3,0.5,0.8,0,0
Ethan Pinnock,Ethan Rupert Pinnock,E. Pinnock,https://cdn.futbin.com/content/fifa24/img/players/238717.png,194,174,CB,1993-05-29,€14.5M,€56K,left,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,5,2019-07-02,2027,https://cdn.sofifa.net/flags/jm.png,238717.0,1925,12,12,0,1080,1,7.18,0,0,1,0,0.8,0.3,0.3,0,0.1,0.3,0.3,55,85.6,0,2.7,0,1.3,1.7,0,6.4,0.6,0.8,0
Thomas Strakosha,Thomas Strakosha,T. Strakosha,https://cdn.futbin.com/content/fifa24/img/players/212151.png,193,172,GK,1995-03-19,€3.3M,€34K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,21,2022-07-14,2026,https://cdn.sofifa.net/flags/al.png,212151.0,1925,2,1,1,135,0,7.05,0,0,0,0,0,0,0.5,0,0,0,0,33,71.2,0,8,0,0,0,0,0.5,0,0,0
Yoane Wissa,Yoane Wissa,Y. Wissa,https://cdn.futbin.com/content/fifa24/img/players/234824.png,176,163,"LW,ST",1996-09-03,€11.5M,€57K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,11,2021-08-10,2026,https://cdn.sofifa.net/flags/cd.png,234824.0,1925,12,12,0,998,1,7.05,0,1,3,1,2.6,1.1,1.7,0.5,0.5,1.9,0.8,14,71.4,0.1,0.2,0,0.8,0.4,1.2,0.5,0.6,0.2,0
Mathias Jensen,Mathias Jensen,M. Jensen,https://cdn.futbin.com/content/fifa24/img/players/229723.png,180,150,CM,1996-01-01,€8M,€49K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,8,2019-07-10,2026,https://cdn.sofifa.net/flags/dk.png,229723.0,1925,12,12,0,914,1,7.04,0,2,3,2,0.6,0.6,0.9,0,0.7,1.4,1.7,34,78.9,1.3,2.3,0.2,2,0.7,1.3,0.9,2,0.2,0
Christian Nørgaard,Christian Thers Nørgaard,C. Nørgaard,https://cdn.futbin.com/content/fifa24/img/players/210697.png,187,170,CDM,1994-03-10,€9M,€50K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,6,2019-06-11,2025,https://cdn.sofifa.net/flags/dk.png,210697.0,1925,12,12,0,1033,0,6.91,0,4,1,1,1.7,0.3,1.3,0.1,0.4,0.7,1,50,80.7,0.2,2.3,0.2,2.5,1.3,1.4,1.9,1.8,0.2,0
Nathan Collins,Nathan Michael Collins,N. Collins,https://cdn.futbin.com/content/fifa24/img/players/248484.png,193,179,"CB,RB",2001-04-30,€14M,€38K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,22,2023-07-04,2029,https://cdn.sofifa.net/flags/ie.png,248484.0,1925,12,11,1,999,0,6.90,0,2,1,1,0.4,0.6,0.3,0.1,0.3,0.7,0.3,57.3,85.3,0,2.2,0.1,1.2,1.5,0.3,4.8,0.3,0.3,0
Rico Henry,Rico Henry,R. Henry,https://cdn.futbin.com/content/fifa24/img/players/224494.png,170,146,"LB,LWB",1997-07-08,€15.5M,€48K,left,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,3,2016-08-31,2026,https://cdn.sofifa.net/flags/gb-eng.png,224494.0,1925,5,5,0,402,0,6.72,0,1,0,1,0.4,1.4,1.2,0.4,1.4,1.6,1,31.2,84.6,0.4,1.6,0,1.4,1,0.8,1,0.2,0.6,0
Vitaly Janelt,Vitaly Janelt,V. Janelt,https://cdn.futbin.com/content/fifa24/img/players/235167.png,184,174,"CDM,CM",1998-05-10,€9.5M,€42K,left,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,27,2020-10-03,2026,https://cdn.sofifa.net/flags/de.png,235167.0,1925,12,12,0,935,0,6.62,0,2,0,1,0.7,0.1,0.7,0.1,0.3,0.6,1.1,30.8,79.2,0.2,1.6,0.2,1.3,0.5,0.7,1.2,1.3,0.1,0
Neal Maupay,Neal Maupay,N. Maupay,https://cdn.futbin.com/content/fifa24/img/players/211784.png,173,152,ST,1996-08-14,€5M,€36K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,7,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/fr.png,211784.0,1925,7,2,5,265,1,6.61,0,2,1,2,1.9,0.1,0.9,0,0.7,0.6,0.6,9.6,73.1,0.1,0.1,0.1,0.3,0.1,0.4,0.1,0.1,0,0
Kristoffer Ajer,Kristoffer Vassbakk Ajer,K. Ajer,https://cdn.futbin.com/content/fifa24/img/players/224258.png,196,207,"CB,RB",1998-04-17,€7.5M,€40K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,20,2021-07-21,2026,https://cdn.sofifa.net/flags/no.png,224258.0,1925,10,7,3,637,0,6.60,0,3,0,1,0.5,0.6,0.2,0.1,0.5,1,0.7,31.1,75.6,0.2,1.5,0.1,1.5,0.4,1.1,2,0.4,0.1,0
Mark Flekken,Mark Flekken,M. Flekken,https://cdn.futbin.com/content/fifa24/img/players/211738.png,195,192,GK,1993-06-13,€20.5M,€56K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,1,2023-07-01,2027,https://cdn.sofifa.net/flags/nl.png,211738.0,1925,11,11,0,946,0,6.52,0,1,0,0,0,0.1,0.2,0,0,0,0,40.6,75.8,0,7.4,0,0,0,0.1,0.9,0.1,0,0
Kevin Schade,Kevin Schade,K. Schade,https://cdn.futbin.com/content/fifa24/img/players/260926.png,185,163,"RW,ST,LW",2001-11-27,€5.5M,€29K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,9,2023-07-01,2028,https://cdn.sofifa.net/flags/de.png,260926.0,1925,5,3,2,258,0,6.51,0,0,1,0,1,0.2,1,0.2,0.6,2.4,0.6,13,63.1,0.4,0,0,0.4,0.2,1.4,0.6,0.6,0,0
Zanka,Mathias Jattah-Njie Jørgensen,Zanka,https://cdn.futbin.com/content/fifa24/img/players/183491.png,191,187,CB,1990-04-23,€2M,€39K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,13,2021-09-09,2025,https://cdn.sofifa.net/flags/dk.png,183491.0,1925,1,0,1,6,0,6.48,0,0,0,0,0,0,0,0,0,0,1,5,100,1,1,1,0,0,0,0,0,1,0
Frank Onyeka,Frank Ogochukwu Onyeka,F. Onyeka,https://cdn.futbin.com/content/fifa24/img/players/239529.png,183,154,"CDM,CM",1998-01-01,€3.8M,€34K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,15,2021-07-20,2027,https://cdn.sofifa.net/flags/ng.png,239529.0,1925,10,2,8,371,0,6.48,0,3,0,1,1.1,0.4,1.4,0.2,0.3,0.8,0.7,15.6,77.6,0.3,0.6,0.1,1.1,0.6,0.8,0.8,0.4,0,0
Yehor Yarmoliuk,Yehor Yarmoliuk,Y. Yarmoliuk,https://cdn.futbin.com/content/fifa24/img/players/270608.png,180,159,"CAM,CM,RW",2004-03-01,€1.7M,€7K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,33,2022-07-14,2028,https://cdn.sofifa.net/flags/ua.png,270608.0,1925,4,0,4,57,0,6.37,0,0,0,0,0.8,1.3,0.5,0,0.5,0.3,0,8.5,82.4,0,0,0,0.8,0.3,0.8,0.5,0.5,0,0
Aaron Hickey,Aaron Buchanan Hickey,A. Hickey,https://cdn.futbin.com/content/fifa24/img/players/248808.png,185,159,"RB,RWB,LB",2002-06-10,€11.5M,€32K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,2,2022-07-09,2026,https://cdn.sofifa.net/flags/gb-sct.png,248808.0,1925,9,9,0,720,0,6.31,0,5,0,0,0.8,0.6,1.8,0,0.6,1.6,0.1,28,89.3,0,1,0,1.8,0.3,1.1,1.1,0,0.3,0
Mads Roerslev,Mads Roerslev Rasmussen,M. Roerslev,https://cdn.futbin.com/content/fifa24/img/players/238157.png,184,148,"RWB,RB",1999-06-24,€2.5M,€24K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,30,2019-08-07,2026,https://cdn.sofifa.net/flags/dk.png,238157.0,1925,10,4,6,417,0,6.29,0,0,0,0,0.2,0.3,0.2,0,0.3,0.3,0.5,17.1,66.7,0.7,0.6,0,1,0.1,0.3,2,1,0,0
Saman Ghoddos,Saman Ghoddos,S. Ghoddos,https://cdn.futbin.com/content/fifa24/img/players/231949.png,175,174,"CAM,CM,LM",1993-09-06,€1.2M,€20K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,14,2023-08-25,2024,https://cdn.sofifa.net/flags/ir.png,231949.0,1925,7,0,7,76,0,6.25,0,3,1,0,0.4,0,0.1,0.1,0,0.1,0.6,7.7,87,0.6,0.4,0,0.4,0,0.6,0.1,0,0.1,0
Keane Lewis-Potter,Keane Lewis-Potter,K. Lewis-Potter,https://cdn.futbin.com/content/fifa24/img/players/243606.png,170,148,"LW,LM",2001-02-22,€5.5M,€33K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,23,2022-07-12,2028,https://cdn.sofifa.net/flags/gb-eng.png,243606.0,1925,6,2,4,220,0,6.22,0,0,0,0,1,0.8,0.8,0.2,0.7,0.7,0.2,9.7,82.8,0.2,0.5,0,0.3,0.2,0.2,0.3,0.2,0,0
Mikkel Damsgaard,Mikkel Krogh Damsgaard,M. Damsgaard,https://cdn.futbin.com/content/fifa24/img/players/241508.png,180,157,"CAM,LW,CM",2000-07-03,€15M,€42K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,24,2022-08-10,2027,https://cdn.sofifa.net/flags/dk.png,241508.0,1925,2,0,2,52,0,6.20,0,0,0,0,0.5,0,0.5,0,0,1,0,7.5,80,0,1,0,0.5,0,1.5,0.5,1,0.5,0
Ben Mee,Ben Mee,B. Mee,https://cdn.futbin.com/content/fifa24/img/players/189682.png,180,181,CB,1989-09-21,€8.5M,€56K,left,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,16,2022-07-22,2024,https://cdn.sofifa.net/flags/gb-eng.png,189682.0,1925,4,3,1,244,0,6.14,0,0,0,0,0.3,0,0,0,1,0,0.5,24.8,73.7,0.3,1.5,0,1.5,0.5,0.3,2.5,0.3,0.3,0
Shandon Baptiste,Shandon Baptiste,S. Baptiste,https://cdn.futbin.com/content/fifa24/img/players/240697.png,175,148,"CM,CDM",1998-04-08,€2.1M,€26K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,26,2020-01-31,2024,https://cdn.sofifa.net/flags/gd.png,240697.0,1925,1,0,1,18,0,6.05,0,0,0,0,0,0,0,0,0,0,0,3,66.7,0,1,0,0,0,0,1,0,0,0
Michael Olakigbe,Michael Olakigbe,M. Olakigbe,https://cdn.futbin.com/content/fifa24/img/players/271173.png,180,161,"LW,RW",2004-04-25,€625K,€5K,right,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,37,2022-07-29,2026,https://cdn.sofifa.net/flags/gb-eng.png,271173.0,1925,4,0,4,12,0,6.04,0,0,0,0,0.5,0,0,0.3,0,0.8,0,4.3,76.5,0,0.3,0,0,0,0,0,0,0,0
Josh Dasilva,Pelenda Joshua Tunga Dasilva,J. Dasilva,https://cdn.futbin.com/content/fifa24/img/players/231445.png,184,165,CM,1998-10-23,€4.6M,€34K,left,Brentford,https://cdn.sofifa.net/meta/team/236/60.png,10,2018-08-20,2024,https://cdn.sofifa.net/flags/gb-eng.png,231445.0,1925,1,0,1,10,0,6.01,0,0,0,0,0,0,0,0,0,1,0,1,100,0,0,0,0,0,0,0,0,0,0
Solly March,Solomon March,S. March,https://cdn.futbin.com/content/fifa24/img/players/206594.png,180,170,RM,1994-07-20,€17.5M,€87K,left,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,7,2013-07-01,2026,https://cdn.sofifa.net/flags/gb-eng.png,206594.0,1808,7,7,0,559,1,7.43,0,1,3,1,2,1.1,1.1,1,1.4,1.1,1,31.6,81.4,1,0.6,0.1,2.7,1.6,1.7,1.1,0.9,0,0
Julio Enciso,Julio Enciso,Julio Enciso,,0,0,,,,,,Brighton,,,,,,,,2,1,1,69,0,7.35,0,1,0,2,2,3,1.5,0.5,0,0.5,1,12,70.8,0,0.5,0,0,0,0,0,0.5,0,0
Pascal Groß,Pascal Groß,P. Groß,https://cdn.futbin.com/content/fifa24/img/players/190765.png,181,172,"CM,CDM,RB",1991-06-15,€11M,€76K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,13,2017-07-01,2025,https://cdn.sofifa.net/flags/de.png,190765.0,1808,10,10,0,890,1,7.01,0,1,2,1,1.5,0.7,0.6,0,0.7,1.1,2.2,81.9,89.7,1.6,3.1,0,1.2,0.5,0.8,0.3,1.2,0.1,0
Kaoru Mitoma,三笘 薫,K. Mitoma,https://cdn.futbin.com/content/fifa24/img/players/255565.png,178,157,LM,1997-05-20,€25M,€88K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,22,2021-08-10,2025,https://cdn.sofifa.net/flags/jp.png,255565.0,1808,12,10,2,981,1,6.94,0,3,3,3,1.8,2.2,1.4,0.5,0.6,1.7,1.4,28.7,84.6,0.3,0.3,0,0.6,0.3,0.8,0.3,0.7,0,0
Pervis Estupiñán,Pervis Josué Estupiñán Tenorio,P. Estupiñán,https://cdn.futbin.com/content/fifa24/img/players/237942.png,175,172,LB,1998-01-21,€24.5M,€77K,left,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,30,2022-08-16,2027,https://cdn.sofifa.net/flags/ec.png,237942.0,1808,6,6,0,496,1,6.92,0,2,1,3,1.3,0.3,0.7,0.2,0.3,1.7,2.2,48.2,86.9,1,1,0,1.2,1.3,1.5,1.2,0.8,0.2,1
Simon Adingra,Simon Adingra,S. Adingra,https://cdn.futbin.com/content/fifa24/img/players/260779.png,175,143,"LM,ST",2002-01-01,€7M,€40K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,24,2022-07-01,2026,https://cdn.sofifa.net/flags/ci.png,260779.0,1808,11,7,4,666,2,6.89,0,1,3,1,0.9,1.5,0.6,0.4,0.5,1.3,0.5,19.4,82.6,0.3,0.8,0.2,1.4,0.9,0.9,0.5,0.9,0,0
Lewis Dunk,Lewis Dunk,L. Dunk,https://cdn.futbin.com/content/fifa24/img/players/199915.png,192,194,CB,1991-11-21,€17.5M,€86K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,5,2010-04-30,2026,https://cdn.sofifa.net/flags/gb-eng.png,199915.0,1808,11,11,0,990,0,6.77,0,3,1,0,1.3,0.3,0.3,0.1,0.1,0.6,0.3,104,91.5,0.1,5.7,0.1,1,0.8,0.6,2.5,0.7,1,0
Evan Ferguson,Evan Ferguson,E. Ferguson,https://cdn.futbin.com/content/fifa24/img/players/259608.png,188,165,ST,2004-10-19,€10M,€26K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,28,2021-01-09,2028,https://cdn.sofifa.net/flags/ie.png,259608.0,1808,11,7,4,582,1,6.68,0,0,5,0,1.6,0.3,1.2,0.4,1.6,1.7,0.4,11.4,88,0,0.2,0,0.4,0.1,1.1,0.3,0.5,0.1,0
João Pedro,João Pedro Pereira dos Santos,João Pedro,https://cdn.futbin.com/content/fifa24/img/players/240290.png,182,192,ST,1993-04-22,€2.3M,€20K,right,Al Taawon,https://cdn.sofifa.net/meta/team/2392/60.png,19,2023-09-06,2025,https://cdn.sofifa.net/flags/br.png,240290.0,112393,12,4,8,582,1,6.66,0,1,2,1,1.4,1,2,0.3,1.7,1.4,1.1,16.2,80.9,0.2,0.4,0.1,0.8,0.3,0.4,0.7,0.4,0,0
Jan Paul van Hecke,Jan Paul van Hecke,J. van Hecke,https://cdn.futbin.com/content/fifa24/img/players/258908.png,185,172,CB,2000-06-08,€3.5M,€33K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,29,2020-09-10,2026,https://cdn.sofifa.net/flags/nl.png,258908.0,1808,7,5,2,478,0,6.63,0,1,0,0,0.3,0.1,0.4,0,0.1,0.1,0,79.1,94.2,0,1.1,0,1.1,1,0,2.1,0.9,1.4,0
Danny Welbeck,Daniel Nii Tackie Mensah Welbeck,D. Welbeck,https://cdn.futbin.com/content/fifa24/img/players/186146.png,185,161,ST,1990-11-26,€6M,€72K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,18,2020-10-18,2024,https://cdn.sofifa.net/flags/gb-eng.png,186146.0,1808,8,7,1,415,0,6.50,0,1,1,0,1.1,0.1,0.9,0.1,1,1.8,0.6,14.6,86.3,0,0,0,0.9,0.3,0.5,0.8,0.1,0,0
Tariq Lamptey,Tariq Lamptey,T. Lamptey,https://cdn.futbin.com/content/fifa24/img/players/242418.png,163,137,"RB,RWB",2000-09-30,€8M,€49K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,2,2020-01-31,2025,https://cdn.sofifa.net/flags/gh.png,242418.0,1808,4,1,3,138,0,6.50,0,2,0,2,0.3,1.3,0.8,0,0.3,0.5,0.5,21.5,88.4,0,0.8,0,0.8,0.5,0.8,0,0.8,0,0
Billy Gilmour,Billy Gilmour,B. Gilmour,https://cdn.futbin.com/content/fifa24/img/players/245992.png,170,146,"CDM,CM",2001-06-11,€5M,€37K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,27,2022-09-01,2026,https://cdn.sofifa.net/flags/gb-sct.png,245992.0,1808,11,7,4,618,0,6.46,0,2,0,1,0.7,0.2,1,0,0.3,0.5,1,53.9,93.1,0.4,1.7,0.3,0.8,0.1,0.7,0.4,1.2,0.2,0
Joël Veltman,Joël Ivo Veltman,J. Veltman,https://cdn.futbin.com/content/fifa24/img/players/208004.png,184,165,"RB,CB",1992-01-15,€10M,€69K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,34,2020-07-29,2025,https://cdn.sofifa.net/flags/nl.png,208004.0,1808,12,6,6,685,0,6.43,0,1,0,1,0.2,0.1,2,0,0.3,0.7,0.2,28.9,84.7,0,1.3,0,2,0.6,0.9,1.7,0.8,0.4,0
Ansu Fati,Anssumane Fati,Ansu Fati,https://cdn.futbin.com/content/fifa24/img/players/253004.png,178,146,"LW,ST",2002-10-31,€31M,€95K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,31,undefined,"jun 30, 2024",https://cdn.sofifa.net/flags/es.png,253004.0,1808,8,1,7,269,0,6.42,0,1,2,0,1.5,0.3,1,0.1,0.5,0.5,0.4,12.3,87.8,0,0.6,0.1,0.3,0,0.5,0.3,0.8,0,0
Facundo Buonanotte,Facundo Valentín Buonanotte,F. Buonanotte,https://cdn.futbin.com/content/fifa24/img/players/269495.png,174,146,"RM,CAM",2004-12-23,€3.2M,€11K,left,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,40,2023-01-01,2026,https://cdn.sofifa.net/flags/ar.png,269495.0,1808,4,2,2,122,0,6.40,0,1,0,1,0.8,0.3,1.5,0,1.3,2,0.5,10,82.5,0,0.3,0,0.8,0.5,1,0.3,0.3,0,0
James Milner,James Philip Milner,J. Milner,https://cdn.futbin.com/content/fifa24/img/players/138412.png,175,154,"CM,RB",1986-01-04,€3.3M,€52K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,6,2023-07-01,2024,https://cdn.sofifa.net/flags/gb-eng.png,138412.0,1808,7,5,2,355,0,6.37,0,2,0,0,0,0.1,0.6,0.1,0.3,0.6,0.4,30.6,85.5,0.1,1.3,0.1,1.1,0.7,1.1,1.4,0.3,0,0
Mahmoud Dahoud,Mahmoud Dahoud,M. Dahoud,https://cdn.futbin.com/content/fifa24/img/players/218339.png,178,150,"CM,CDM",1996-01-01,€15M,€76K,right,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/60.png,8,2023-07-01,2027,https://cdn.sofifa.net/flags/de.png,218339.0,1808,8,5,3,408,0,6.37,1,1,0,1,0.5,0.1,0.3,0,0.5,0.5,1.3,36.5,87.3,0.1,1,0.1,1.1,0.1,0.8,0.5,0.8,0.1,0
